"id","ident","estimated_departure_time","estimated_arrival_time","origin","destination","seats_cabin_first","seats_cabin_business","seats_cabin_coach","created_at","updated_at","flightaware_call_type"
1986004,"NKS436","2018-07-15 16:21:00","2018-07-15 17:50:00","KPIT","KMYR",0,10,135,"2018-07-13 20:00:47.863052","2018-07-13 20:00:47.863052","AirlineFlightSchedules"
1986005,"JBU1786","2018-07-15 19:23:00","2018-07-15 21:01:00","KPIT","KBOS",0,0,100,"2018-07-13 20:00:47.874967","2018-07-13 20:00:47.874967","AirlineFlightSchedules"
1986006,"SWA5264","2018-07-15 14:50:00","2018-07-15 17:20:00","KPIT","KRSW",0,0,175,"2018-07-13 20:00:47.886502","2018-07-13 20:00:47.886502","AirlineFlightSchedules"
1986007,"AAL572","2018-07-15 11:30:00","2018-07-15 16:06:00","KPIT","KPHX",8,0,120,"2018-07-13 20:00:48.854882","2018-07-13 20:00:48.854882","AirlineFlightSchedules"
1986008,"AAL579","2018-07-15 21:44:00","2018-07-16 02:09:00","KPIT","KPHX",8,0,120,"2018-07-13 20:00:48.863459","2018-07-13 20:00:48.863459","AirlineFlightSchedules"
1986009,"AAY1408","2018-07-15 21:00:00","2018-07-15 23:23:00","KPIT","KMSY",0,0,156,"2018-07-13 20:00:48.872305","2018-07-13 20:00:48.872305","AirlineFlightSchedules"
1986010,"SWA4184","2018-07-15 23:35:00","2018-07-16 02:00:00","KPIT","KMSY",0,0,143,"2018-07-13 20:00:48.882326","2018-07-13 20:00:48.882326","AirlineFlightSchedules"
1986011,"DAL1209","2018-07-15 11:40:00","2018-07-15 13:21:00","KPIT","KATL",16,0,144,"2018-07-13 20:00:48.890532","2018-07-13 20:00:48.890532","AirlineFlightSchedules"
1986012,"FDY792","2018-07-15 14:45:00","2018-07-15 15:40:00","KPIT","KBFD",0,0,9,"2018-07-13 20:00:49.871318","2018-07-13 20:00:49.871318","AirlineFlightSchedules"
1986013,"NKS437","2018-07-15 21:05:00","2018-07-16 00:00:00","KPIT","KDFW",0,10,135,"2018-07-13 20:00:49.880569","2018-07-13 20:00:49.880569","AirlineFlightSchedules"
1986014,"JBU1486","2018-07-15 16:56:00","2018-07-15 18:32:00","KPIT","KBOS",0,0,100,"2018-07-13 20:00:49.888774","2018-07-13 20:00:49.888774","AirlineFlightSchedules"
1986015,"JBU1286","2018-07-15 12:27:00","2018-07-15 14:00:00","KPIT","KBOS",0,0,100,"2018-07-13 20:00:49.896925","2018-07-13 20:00:49.896925","AirlineFlightSchedules"
1986016,"AAL1551","2018-07-15 19:41:00","2018-07-15 22:35:00","KPIT","KDFW",16,0,124,"2018-07-13 20:00:50.793732","2018-07-13 20:00:50.793732","AirlineFlightSchedules"
1986017,"UAL2228","2018-07-15 22:00:00","2018-07-16 03:27:00","KPIT","KSFO",8,0,138,"2018-07-13 20:00:51.814264","2018-07-13 20:00:51.814264","AirlineFlightSchedules"
1986018,"AAL762","2018-07-15 11:24:00","2018-07-15 14:25:00","KPIT","KDFW",8,0,120,"2018-07-13 20:00:51.82706","2018-07-13 20:00:51.82706","AirlineFlightSchedules"
1986019,"SWA3690","2018-07-15 16:45:00","2018-07-15 18:25:00","KPIT","KSTL",0,0,143,"2018-07-13 20:00:51.836336","2018-07-13 20:00:51.836336","AirlineFlightSchedules"
1986020,"AAL2019","2018-07-15 23:18:00","2018-07-16 02:13:00","KPIT","KDFW",0,12,138,"2018-07-13 20:00:52.736419","2018-07-13 20:00:52.736419","AirlineFlightSchedules"
1986021,"SWA4392","2018-07-15 22:30:00","2018-07-16 00:10:00","KPIT","KSTL",0,0,143,"2018-07-13 20:00:52.744554","2018-07-13 20:00:52.744554","AirlineFlightSchedules"
1986022,"SWA4730","2018-07-15 11:10:00","2018-07-15 15:30:00","KPIT","KPHX",0,0,143,"2018-07-13 20:00:52.752648","2018-07-13 20:00:52.752648","AirlineFlightSchedules"
1986023,"SWA3373","2018-07-15 10:05:00","2018-07-15 11:35:00","KPIT","KBNA",0,0,143,"2018-07-13 20:00:52.761371","2018-07-13 20:00:52.761371","AirlineFlightSchedules"
1986024,"UAL606","2018-07-15 11:29:00","2018-07-15 16:54:00","KPIT","KSFO",8,0,159,"2018-07-13 20:00:52.76977","2018-07-13 20:00:52.76977","AirlineFlightSchedules"
1986025,"DAL2756","2018-07-15 10:36:00","2018-07-15 12:56:00","KPIT","KMSP",0,12,138,"2018-07-13 20:00:53.707629","2018-07-13 20:00:53.707629","AirlineFlightSchedules"
1986026,"AAY1412","2018-07-16 00:25:00","2018-07-16 02:33:00","KPIT","KSFB",0,0,166,"2018-07-13 20:00:53.716215","2018-07-13 20:00:53.716215","AirlineFlightSchedules"
1986027,"SWA4427","2018-07-15 22:40:00","2018-07-16 00:10:00","KPIT","KBNA",0,0,143,"2018-07-13 20:00:53.724445","2018-07-13 20:00:53.724445","AirlineFlightSchedules"
1986028,"DAL1748","2018-07-15 16:39:00","2018-07-15 18:50:00","KPIT","KMSP",0,12,138,"2018-07-13 20:00:54.672032","2018-07-13 20:00:54.672032","AirlineFlightSchedules"
1986029,"DAL2305","2018-07-15 21:20:00","2018-07-15 23:39:00","KPIT","KMSP",16,0,142,"2018-07-13 20:00:54.683076","2018-07-13 20:00:54.683076","AirlineFlightSchedules"
1986030,"UAL2508","2018-07-15 22:05:00","2018-07-15 23:35:00","KPIT","KMKE",16,0,150,"2018-07-13 20:00:54.693996","2018-07-13 20:00:54.693996","AirlineFlightSchedules"
1986031,"AAL1948","2018-07-15 14:08:00","2018-07-15 15:25:00","KPIT","KPHL",0,11,88,"2018-07-13 20:00:55.599623","2018-07-13 20:00:55.599623","AirlineFlightSchedules"
1986032,"DAL1549","2018-07-15 20:55:00","2018-07-15 22:40:00","KPIT","KATL",16,0,133,"2018-07-13 20:00:55.611175","2018-07-13 20:00:55.611175","AirlineFlightSchedules"
1986033,"UAL2340","2018-07-15 22:30:00","2018-07-15 23:56:00","KPIT","KEWR",8,0,106,"2018-07-13 20:00:55.620567","2018-07-13 20:00:55.620567","AirlineFlightSchedules"
1986034,"FDY884","2018-07-15 17:15:00","2018-07-15 18:00:00","KPIT","KJST",0,0,9,"2018-07-13 20:00:55.628958","2018-07-13 20:00:55.628958","AirlineFlightSchedules"
1986035,"FDY886","2018-07-15 20:00:00","2018-07-15 20:45:00","KPIT","KJST",0,0,9,"2018-07-13 20:00:55.637385","2018-07-13 20:00:55.637385","AirlineFlightSchedules"
1986036,"AAL2057","2018-07-15 09:58:00","2018-07-15 11:15:00","KPIT","KPHL",8,0,120,"2018-07-13 20:00:55.647783","2018-07-13 20:00:55.647783","AirlineFlightSchedules"
1986037,"WOW148","2018-07-15 22:45:00","2018-07-16 04:45:00","KPIT","BIKF",0,0,220,"2018-07-13 20:00:56.700106","2018-07-13 20:00:56.700106","AirlineFlightSchedules"
1986038,"FDY1074","2018-07-15 17:00:00","2018-07-15 17:45:00","KPIT","KFKL",0,0,9,"2018-07-13 20:00:56.713319","2018-07-13 20:00:56.713319","AirlineFlightSchedules"
1986039,"FDY1078","2018-07-15 22:30:00","2018-07-15 23:15:00","KPIT","KFKL",0,0,9,"2018-07-13 20:00:56.723857","2018-07-13 20:00:56.723857","AirlineFlightSchedules"
1986040,"FDY394","2018-07-15 17:00:00","2018-07-15 17:50:00","KPIT","KAOO",0,0,9,"2018-07-13 20:00:56.734265","2018-07-13 20:00:56.734265","AirlineFlightSchedules"
1986041,"SWA3970","2018-07-15 23:30:00","2018-07-16 04:00:00","KPIT","KLAS",0,0,175,"2018-07-13 20:00:56.744586","2018-07-13 20:00:56.744586","AirlineFlightSchedules"
1986042,"DAL2290","2018-07-15 10:00:00","2018-07-15 11:35:00","KPIT","KATL",16,0,133,"2018-07-13 20:00:56.75341","2018-07-13 20:00:56.75341","AirlineFlightSchedules"
1986043,"FDY494","2018-07-15 20:00:00","2018-07-15 20:40:00","KPIT","KMGW",0,0,9,"2018-07-13 20:00:56.764154","2018-07-13 20:00:56.764154","AirlineFlightSchedules"
1986044,"FDY492","2018-07-15 14:00:00","2018-07-15 14:40:00","KPIT","KMGW",0,0,9,"2018-07-13 20:00:56.773926","2018-07-13 20:00:56.773926","AirlineFlightSchedules"
1986045,"NKS333","2018-07-16 00:29:00","2018-07-16 05:03:00","KPIT","KLAS",0,10,135,"2018-07-13 20:00:56.783136","2018-07-13 20:00:56.783136","AirlineFlightSchedules"
1986046,"SWA4642","2018-07-15 10:10:00","2018-07-15 14:40:00","KPIT","KLAS",0,0,143,"2018-07-13 20:00:56.792707","2018-07-13 20:00:56.792707","AirlineFlightSchedules"
1986047,"NKS659","2018-07-15 14:00:00","2018-07-15 19:06:00","KPIT","KLAX",0,10,135,"2018-07-13 20:00:57.73089","2018-07-13 20:00:57.73089","AirlineFlightSchedules"
1986048,"SWA3399","2018-07-15 20:35:00","2018-07-15 22:00:00","KPIT","KMDW",0,0,143,"2018-07-13 20:00:57.739767","2018-07-13 20:00:57.739767","AirlineFlightSchedules"
1986049,"DAL1599","2018-07-15 17:12:00","2018-07-15 18:53:00","KPIT","KATL",16,0,133,"2018-07-13 20:00:57.74793","2018-07-13 20:00:57.74793","AirlineFlightSchedules"
1986050,"SWA4659","2018-07-15 11:00:00","2018-07-15 16:10:00","KPIT","KLAX",0,0,175,"2018-07-13 20:00:57.755816","2018-07-13 20:00:57.755816","AirlineFlightSchedules"
